All Method Calls (2202)

<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphControllerXmlBean; getTitle[]; java.lang.String; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; write[net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphControllerXmlBean]; void; null; xmlBean>
<not found; getString[]; not found; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; write[net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphControllerXmlBean]; void; null; s_stringMgr>
<not found; showMessage[]; not found; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; write[net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphControllerXmlBean]; void; null; _session>
<not found; load[]; not found; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; read[]; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphControllerXmlBean; null; br>
<java.lang.Class; getClassLoader[]; java.lang.ClassLoader; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; read[]; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphControllerXmlBean; null; this.getClass()>
<java.lang.Object; getClass[]; java.lang.Class<? extends net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer>; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; read[]; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphControllerXmlBean; getClassLoader[]; this>
<not found; next[]; not found; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; read[]; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphControllerXmlBean; null; br.iterator()>
<not found; iterator[]; not found; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; read[]; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphControllerXmlBean; next[]; br>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; javaNormalize[java.lang.String]; java.lang.String; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; getFileName[java.lang.String, java.lang.String, java.lang.String]; java.lang.String; null; this>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; javaNormalize[java.lang.String]; java.lang.String; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; getFileName[java.lang.String, java.lang.String, java.lang.String]; java.lang.String; null; this>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; prefixExists[java.io.File, java.lang.String]; boolean; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; getFileName[java.lang.String, java.lang.String, java.lang.String]; java.lang.String; null; this>
<java.io.File; listFiles[java.io.FilenameFilter]; java.io.File[]; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; prefixExists[java.io.File, java.lang.String]; boolean; null; path>
<java.lang.String; equals[java.lang.Object]; boolean; java.lang.Object; accept[java.io.File, java.lang.String]; boolean; null; name.toLowerCase()>
<java.lang.String; toLowerCase[]; java.lang.String; java.lang.Object; accept[java.io.File, java.lang.String]; boolean; equals[java.lang.Object]; name>
<java.lang.String; toLowerCase[]; java.lang.String; java.lang.Object; accept[java.io.File, java.lang.String]; boolean; null; filePrefix>
<java.lang.String; length[]; int; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; javaNormalize[java.lang.String]; java.lang.String; null; text>
<java.lang.Character; isJavaIdentifierStart[char]; boolean; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; javaNormalize[java.lang.String]; java.lang.String; null; Character>
<java.lang.String; charAt[int]; char; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; javaNormalize[java.lang.String]; java.lang.String; null; text>
<java.lang.StringBuffer; append[char]; java.lang.StringBuffer; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; javaNormalize[java.lang.String]; java.lang.String; null; buf>
<java.lang.String; charAt[int]; char; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; javaNormalize[java.lang.String]; java.lang.String; null; text>
<java.lang.StringBuffer; append[char]; java.lang.StringBuffer; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; javaNormalize[java.lang.String]; java.lang.String; null; buf>
<java.lang.String; length[]; int; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; javaNormalize[java.lang.String]; java.lang.String; null; text>
<java.lang.Character; isLetterOrDigit[char]; boolean; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; javaNormalize[java.lang.String]; java.lang.String; null; Character>
<java.lang.String; charAt[int]; char; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; javaNormalize[java.lang.String]; java.lang.String; null; text>
<java.lang.StringBuffer; append[char]; java.lang.StringBuffer; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; javaNormalize[java.lang.String]; java.lang.String; null; buf>
<java.lang.String; charAt[int]; char; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; javaNormalize[java.lang.String]; java.lang.String; null; text>
<java.lang.StringBuffer; append[char]; java.lang.StringBuffer; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; javaNormalize[java.lang.String]; java.lang.String; null; buf>
<java.lang.StringBuffer; toString[]; java.lang.String; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; javaNormalize[java.lang.String]; java.lang.String; null; buf>
<not found; getPluginUserSettingsFolder[]; not found; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; getGraphXmSerializers[net.sourceforge.squirrel_sql.plugins.graph.GraphPlugin, net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ISession]; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer[]; null; plugin>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; javaNormalize[java.lang.String]; java.lang.String; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; getGraphXmSerializers[net.sourceforge.squirrel_sql.plugins.graph.GraphPlugin, net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ISession]; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer[]; null; this>
